what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455044488141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455044490248
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1455044490263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1455044508150
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455044512063
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1455044512407
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1455044512470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455044535709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455044588786
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1455044593301
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1455044593685
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1455044593895
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1455044594125
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1455044594298
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1455044594825
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1455044595301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1455044596676
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1455044622341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455044627894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455044632569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455044635021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455044639130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455044639786
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455044698676
